time,site,ip,hop_num,min_rtt,avg_rtt,max_rtt
2021-04-21 22:11:36.832257+00:00,docs.google.com,96.112.146.22,6,12.405,24.461,47.874
2021-04-21 22:11:36.832420+00:00,docs.google.com,108.170.226.52,7,13.53,19.965,28.142
2021-04-21 22:11:36.832581+00:00,docs.google.com,209.85.252.251,8,11.593,15.899,27.98
2021-04-21 22:11:36.832739+00:00,docs.google.com,172.217.164.110,9,12.601,24.733,32.364
2021-04-21 22:11:41.220188+00:00,stackoverflow.com,10.0.0.1,1,1.604,3.209,4.79
2021-04-21 22:11:41.220392+00:00,stackoverflow.com,96.120.88.185,2,13.634,19.499,26.225
2021-04-21 22:11:41.220519+00:00,stackoverflow.com,96.110.177.73,3,11.852,14.693,19.399
2021-04-21 22:11:41.220638+00:00,stackoverflow.com,69.139.199.197,4,14.261,18.201,21.947
2021-04-21 22:11:41.220753+00:00,stackoverflow.com,96.110.41.121,5,13.586,18.312,25.159
2021-04-21 22:11:41.220864+00:00,stackoverflow.com,96.110.41.218,6,12.857,14.925,21.55
2021-04-21 22:11:41.220974+00:00,stackoverflow.com,66.208.228.90,7,15.836,17.457,18.777
2021-04-21 22:11:41.221082+00:00,stackoverflow.com,151.101.193.69,8,11.529,14.876,20.82
2021-04-21 22:11:48.201213+00:00,calendar.google.com,10.0.0.1,1,2.378,3.367,4.67
2021-04-21 22:11:48.201627+00:00,calendar.google.com,96.120.88.185,2,10.885,13.675,20.162
2021-04-21 22:11:48.201893+00:00,calendar.google.com,96.110.177.73,3,12.864,13.882,15.49
2021-04-21 22:11:48.202072+00:00,calendar.google.com,69.139.199.197,4,12.911,18.439,23.558
2021-04-21 22:11:48.202244+00:00,calendar.google.com,68.86.143.93,5,12.222,15.167,20.846
2021-04-21 22:11:48.202411+00:00,calendar.google.com,96.112.146.18,6,11.636,14.104,19.119
2021-04-21 22:11:48.202577+00:00,calendar.google.com,74.125.37.224,7,11.569,15.992,20.791
2021-04-21 22:11:48.202741+00:00,calendar.google.com,108.170.237.107,8,11.939,14.293,21.126
2021-04-21 22:11:48.202903+00:00,calendar.google.com,216.58.194.206,9,9.92,13.154,20.173
2021-04-21 22:11:53.494344+00:00,sites.google.com,10.0.0.1,1,2.019,2.827,5.272
2021-04-21 22:11:53.494763+00:00,sites.google.com,96.120.88.185,2,10.294,12.962,18.558
2021-04-21 22:11:53.495039+00:00,sites.google.com,96.110.177.73,3,10.629,11.716,13.319
2021-04-21 22:11:53.495219+00:00,sites.google.com,69.139.199.197,4,12.101,14.824,21.775
2021-04-21 22:11:53.495389+00:00,sites.google.com,68.86.143.93,5,11.103,26.217,51.902
2021-04-21 22:11:53.495557+00:00,sites.google.com,96.112.146.22,6,11.394,23.479,39.148
2021-04-21 22:11:53.495720+00:00,sites.google.com,108.170.226.52,7,14.935,18.818,23.86
2021-04-21 22:11:53.495882+00:00,sites.google.com,108.170.236.63,8,11.13,15.067,20.64
2021-04-21 22:11:53.496041+00:00,sites.google.com,172.217.5.110,9,11.674,15.213,19.737
2021-04-21 22:12:35.008027+00:00,github.com,10.0.0.1,1,1.755,2.886,4.373
2021-04-21 22:12:35.008448+00:00,github.com,96.120.88.185,2,13.105,16.822,20.08
2021-04-21 22:12:35.008741+00:00,github.com,96.110.177.73,3,12.435,16.538,28.794
2021-04-21 22:12:35.008919+00:00,github.com,69.139.199.197,4,11.134,18.766,28.309
2021-04-21 22:12:35.009092+00:00,github.com,96.110.41.125,5,13.283,18.663,22.408
2021-04-21 22:12:35.009260+00:00,github.com,96.110.33.94,6,12.666,20.421,27.648
2021-04-21 22:12:35.009427+00:00,github.com,50.208.233.210,7,13.641,17.983,27.116
2021-04-21 22:12:35.009590+00:00,github.com,62.115.115.217,8,15.722,24.526,34.223
2021-04-21 22:12:35.009752+00:00,github.com,62.115.118.168,9,33.42,45.48,64.903
2021-04-21 22:12:35.009916+00:00,github.com,62.115.175.97,10,33.616,34.192,34.889
2021-04-21 22:12:35.010077+00:00,github.com,192.30.255.113,14,32.774,43.763,48.18
2021-04-21 22:12:40.657899+00:00,realpython.com,10.0.0.1,1,1.792,2.561,3.336
2021-04-21 22:12:40.658324+00:00,realpython.com,96.120.88.185,2,12.858,13.866,14.819
2021-04-21 22:12:40.658616+00:00,realpython.com,96.110.177.73,3,12.59,22.369,42.366
2021-04-21 22:12:40.658795+00:00,realpython.com,69.139.199.197,4,12.175,14.564,19.756
2021-04-21 22:12:40.658967+00:00,realpython.com,96.110.41.125,5,13.059,14.182,16.005
2021-04-21 22:12:40.659135+00:00,realpython.com,96.110.46.42,6,12.447,14.418,19.892
2021-04-21 22:12:40.659302+00:00,realpython.com,96.110.37.174,7,13.213,15.07,17.751
2021-04-21 22:12:40.659465+00:00,realpython.com,68.86.88.18,8,12.49,15.963,21.582
2021-04-21 22:12:40.659626+00:00,realpython.com,66.208.228.6,9,15.676,19.67,26.708
2021-04-21 22:12:40.659787+00:00,realpython.com,104.22.16.171,10,13.33,14.323,15.929
2021-04-21 22:12:51.942153+00:00,medium.com,10.0.0.1,1,1.782,2.67,3.603
2021-04-21 22:12:51.942579+00:00,medium.com,96.120.88.185,2,12.736,19.365,28.649
2021-04-21 22:12:51.942874+00:00,medium.com,96.110.177.73,3,11.112,14.171,19.574
2021-04-21 22:12:51.943055+00:00,medium.com,69.139.199.197,4,12.616,14.843,18.832
2021-04-21 22:12:51.943226+00:00,medium.com,96.110.41.121,5,13.894,20.687,33.659
2021-04-21 22:12:51.943396+00:00,medium.com,96.110.46.30,6,14.199,17.75,21.713
2021-04-21 22:12:51.943562+00:00,medium.com,96.110.37.174,7,14.38,18.103,28.741
2021-04-21 22:12:51.943727+00:00,medium.com,96.110.38.89,8,19.838,25.902,33.658
2021-04-21 22:12:51.943889+00:00,medium.com,96.110.45.169,9,20.367,22.148,23.397
2021-04-21 22:12:51.944050+00:00,medium.com,96.110.33.54,10,20.092,23.007,28.663
2021-04-21 22:12:51.944211+00:00,medium.com,50.242.151.226,11,21.831,25.157,27.793
2021-04-21 22:12:51.944370+00:00,medium.com,162.159.153.4,12,20.751,23.164,30.72
2021-04-21 22:12:57.835790+00:00,docs.python.org,10.0.0.1,1,2.48,3.046,3.707
2021-04-21 22:12:57.836217+00:00,docs.python.org,96.120.88.185,2,12.298,16.151,26.61
2021-04-21 22:12:57.836510+00:00,docs.python.org,96.110.177.73,3,11.349,14.456,21.023
2021-04-21 22:12:57.836693+00:00,docs.python.org,69.139.199.197,4,10.799,12.643,14.023
2021-04-21 22:12:57.836866+00:00,docs.python.org,96.110.41.125,5,14.26,17.971,22.676
2021-04-21 22:12:57.837034+00:00,docs.python.org,96.110.46.42,6,12.618,14.837,21.809
2021-04-21 22:12:57.837202+00:00,docs.python.org,96.110.37.174,7,14.595,17.974,24.156
2021-04-21 22:12:57.837367+00:00,docs.python.org,96.110.32.254,8,14.054,15.932,17.172
2021-04-21 22:12:57.837530+00:00,docs.python.org,173.167.57.86,9,11.194,21.579,36.397
2021-04-21 22:12:57.837692+00:00,docs.python.org,151.101.40.223,10,11.691,16.526,22.865
2021-04-21 22:13:15.853297+00:00,www.cplusplus.com,10.0.0.1,1,1.574,2.674,3.875
2021-04-21 22:13:15.853723+00:00,www.cplusplus.com,96.120.88.185,2,11.823,18.318,30.56
2021-04-21 22:13:15.854017+00:00,www.cplusplus.com,96.110.177.73,3,11.565,13.503,15.704
2021-04-21 22:13:15.854196+00:00,www.cplusplus.com,69.139.199.197,4,11.769,20.582,30.865
2021-04-21 22:13:15.854367+00:00,www.cplusplus.com,96.110.41.125,5,13.012,21.586,43.449
2021-04-21 22:13:15.854534+00:00,www.cplusplus.com,96.110.41.206,6,12.188,15.626,24.42
2021-04-21 22:13:15.854697+00:00,www.cplusplus.com,142.44.208.141,7,13.677,24.353,40.766
2021-04-21 22:13:15.854858+00:00,www.cplusplus.com,198.27.73.227,8,62.001,64.256,70.143
2021-04-21 22:13:15.855018+00:00,www.cplusplus.com,192.99.146.140,9,78.206,81.14,87.76
2021-04-21 22:13:15.855178+00:00,www.cplusplus.com,198.27.73.98,11,79.342,88.534,109.48
2021-04-21 22:13:15.855338+00:00,www.cplusplus.com,144.217.110.12,12,75.866,76.85,77.867
2021-04-21 22:13:25.145866+00:00,oiala.ai,10.0.0.1,1,2.427,3.211,4.038
2021-04-21 22:13:25.146288+00:00,oiala.ai,96.120.88.185,2,12.484,15.308,20.49
2021-04-21 22:13:25.146580+00:00,oiala.ai,96.110.177.73,3,11.432,19.563,30.945
2021-04-21 22:13:25.146759+00:00,oiala.ai,69.139.199.197,4,14.964,24.619,33.452
2021-04-21 22:13:25.146929+00:00,oiala.ai,96.110.41.121,5,12.748,17.385,22.305
